Initialization succeeded.
Johnny 5 is Alive!
27 0
29 0
31 0
33 0
35 0
37 0
39 0
41 0
43 0
45 68
47 63
49 64
51 61
53 62
55 61
57 62
59 56
61 57
63 56
65 57
67 53
69 55
71 50
73 54
75 53
77 51
79 51
81 50
83 51
85 52
87 49
89 49
91 49
93 49
95 49
97 49
99 49
101 49
103 49
105 51
107 50
109 50
111 53
113 51
115 52
117 49
119 54
121 55
123 55
125 57
127 54
129 59
131 55
133 57
135 55
137 53
139 51
141 50
143 51
145 49
147 47
149 46
151 44
149 42
147 43
145 44
143 45
141 46
139 47
137 47
135 49
133 50
131 53
129 53
127 55
125 54
123 57
121 59
119 57
117 58
115 54
113 51
111 55
109 49
107 52
105 54
103 53
101 49
99 51
97 50
95 51
93 49
91 52
89 49
87 47
85 49
83 49
81 49
79 49
77 52
75 50
73 47
71 51
69 51
67 53
65 52
63 53
61 55
59 56
57 57
55 56
53 59
51 60
49 61
47 60
45 61
43 62
41 64
39 68
37 0
35 0
33 0
31 0
